team,opponent,date,is_home,result,goals_for,goals_against,win_rate,world_cup_win_rate,avg_goals_scored,avg_goals_conceded,avg_goal_diff,players_value,fifa_ranking,opp_win_rate,opp_avg_gs,opp_avg_gc,opp_players_value,opp_fifa_ranking,ranking_diff,value_ratio,form_wins_5,form_draws_5,form_losses_5,form_pts_5,form_gf_5,form_ga_5,form_gd_5,form_home_wr_5,form_away_wr_5
Afrique du Sud,Égypte,02.03.2025,1,D,1,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.6,1.52,0.71,4480000.0,29.0,31.0,0.421875,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Afrique du Sud,Eswatini,02.07.2024,1,W,1,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Afrique du Sud,Cap-Vert,03.02.2024Après TAB,0,W,0,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.45,1.2,0.96,2100000.0,68.0,-8.0,0.9,1.0,1.0,0.0,4.0,2.0,1.0,1.0,0.5,0.0
Afrique du Sud,Malawi,03.05.2025,0,L,0,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,1.0,0.0,7.0,2.0,1.0,1.0,0.5,1.0
Afrique du Sud,CamerounQualifié: Cameroun,04.01. 20:00,1,L,1,2,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,1.0,1.0,7.0,2.0,2.0,0.0,0.5,0.5
Afrique du Sud,Mozambique,04.06.2025,1,L,0,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,1.0,2.0,7.0,3.0,4.0,-1.0,0.3333333333333333,0.5
Afrique du Sud,AngolaQualifié: Angola,04.09.2022,1,L,1,4,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,0.0,3.0,6.0,2.0,4.0,-2.0,0.3333333333333333,0.5
Afrique du Sud,Namibie,05.07.2023,1,D,1,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,1.0,0.0,4.0,3.0,2.0,8.0,-6.0,0.0,0.5
Afrique du Sud,Lesotho,05.09.2025,0,W,3,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,0.0,1.0,4.0,1.0,3.0,9.0,-6.0,0.0,0.0
Afrique du Sud,Jamaique,06.06. 23:00,0,W,1,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,1.0,1.0,3.0,4.0,6.0,8.0,-2.0,0.0,1.0
Afrique du Sud,Tanzanie,06.06.2025,1,D,0,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,1.0,2.0,7.0,6.0,6.0,0.0,0.0,1.0
Afrique du Sud,Ouganda,06.09.2024,1,D,2,2,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,2.0,1.0,8.0,6.0,5.0,1.0,0.0,1.0
Afrique du Sud,NigériaQualifié: Nigéria,07.02.2024Après TAB,0,L,1,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,3.0,0.0,9.0,7.0,3.0,4.0,0.0,1.0
Afrique du Sud,Nigéria,07.06.2024,0,D,1,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,2.0,1.0,8.0,7.0,3.0,4.0,0.0,0.6666666666666666
Afrique du Sud,Zimbabwe,07.06.2025,1,W,2,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,1.0,3.0,1.0,6.0,5.0,4.0,1.0,0.0,0.3333333333333333
Afrique du Sud,Botswana,08.07.2023,1,W,2,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,1.0,3.0,1.0,6.0,6.0,4.0,2.0,0.3333333333333333,0.0
Afrique du Sud,Algérie,08.08.2025,0,D,1,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.65,1.9,0.59,9880000.0,28.0,32.0,0.19129554655870445,2.0,2.0,1.0,8.0,8.0,5.0,3.0,0.6666666666666666,0.0
Afrique du Sud,Égypte,09.03.2025,0,W,3,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.6,1.52,0.71,4480000.0,29.0,31.0,0.421875,2.0,2.0,1.0,8.0,7.0,4.0,3.0,1.0,0.0
Afrique du Sud,Maroc,09.06.2022,0,L,1,2,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.7125,1.89,0.65,19170000.0,7.0,53.0,0.09859154929577464,3.0,2.0,0.0,11.0,9.0,4.0,5.0,1.0,0.3333333333333333
Afrique du Sud,Namibie,09.09.2023,1,D,0,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,1.0,1.0,10.0,9.0,5.0,4.0,1.0,0.3333333333333333
Afrique du Sud,Nigéria,09.09.2025,1,D,1,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,2.0,1.0,8.0,7.0,5.0,2.0,0.5,0.3333333333333333
Afrique du Sud,Lesotho,10.01.2024,1,D,0,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,1.0,3.0,1.0,6.0,6.0,5.0,1.0,0.0,0.3333333333333333
Afrique du Sud,RD Congo,10.02.2024Après TAB,1,W,0,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,1.0,3.0,1.0,6.0,5.0,4.0,1.0,0.0,0.5
Afrique du Sud,Mozambique,10.06.2025,1,W,2,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,1.0,3.0,1.0,6.0,2.0,3.0,-1.0,0.25,0.0
Afrique du Sud,Maurice,10.06.2025,1,D,0,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,3.0,0.0,9.0,3.0,1.0,2.0,0.4,0.0
Afrique du Sud,Soudan du Sud,10.09.2024,0,W,3,2,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,3.0,0.0,9.0,3.0,1.0,2.0,0.4,0.0
Afrique du Sud,Zimbabwe,10.10.2025,0,D,0,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,2.0,0.0,11.0,5.0,2.0,3.0,0.5,1.0
Afrique du Sud,Malawi,11.05.2025,1,W,2,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,2.0,0.0,11.0,5.0,2.0,3.0,0.6666666666666666,0.5
Afrique du Sud,Zimbabwe,11.06.2024,1,W,3,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,2.0,0.0,11.0,7.0,2.0,5.0,0.6666666666666666,0.5
Afrique du Sud,Eswatini,11.07.2023,1,W,2,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,2.0,0.0,11.0,8.0,3.0,5.0,0.6666666666666666,0.5
Afrique du Sud,Guinée,11.08.2025,1,W,2,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,4.0,1.0,0.0,13.0,10.0,4.0,6.0,1.0,0.5
Afrique du Sud,Congo,11.10.2024,1,W,5,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,4.0,1.0,0.0,13.0,9.0,3.0,6.0,1.0,0.0
Afrique du Sud,RD Congo,12.09.2023,1,W,1,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,5.0,0.0,0.0,15.0,14.0,3.0,11.0,1.0,0.0
Afrique du Sud,Comores,13.06.2025,1,W,3,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,5.0,0.0,0.0,15.0,13.0,3.0,10.0,1.0,0.0
Afrique du Sud,MozambiqueQualifié: Mozambique,13.07.2022Après TAB,1,L,0,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,5.0,0.0,0.0,15.0,13.0,3.0,10.0,1.0,0.0
Afrique du Sud,Eswatini,13.10.2023,1,D,0,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,4.0,0.0,1.0,12.0,11.0,2.0,9.0,0.8,0.0
Afrique du Sud,ZambieQualifié: Zambie,14.07.2023,1,L,1,2,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,1.0,1.0,10.0,9.0,1.0,8.0,0.6,0.0
Afrique du Sud,Rwanda,14.10.2025,1,W,3,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,1.0,2.0,7.0,5.0,3.0,2.0,0.4,0.0
Afrique du Sud,AngolaVainqueur: Angola,15.06.2025,0,L,0,3,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,1.0,2.0,7.0,7.0,3.0,4.0,0.4,0.0
Afrique du Sud,Madagascar,15.07.2022,0,W,2,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,-1.0,0.25,0.0
