team,date,home_team,away_team,home_goals,away_goals,is_home,goals_for,goals_against,result,competition
Canada,06.06. 01:30,Canada,Irlande,1,1,True,1,1,D,Unknown
Canada,02.06. 03:00,Canada,Ouzbékistan,2,0,True,2,0,W,Unknown
Canada,01.04. 01:30,Canada,Tunisie,0,0,True,0,0,D,Unknown
Canada,28.03. 18:00,Canada,Islande,2,2,True,2,2,D,Unknown
Canada,18.01. 04:00,Canada,Guatemala,1,0,True,1,0,W,Unknown
Canada,19.11.2025,Canada,Venezuela,2,0,True,2,0,W,Unknown
Canada,14.11.2025,Canada,Équateur,0,0,True,0,0,D,Unknown
Canada,15.10.2025,Canada,Colombie,0,0,True,0,0,D,Unknown
Canada,11.10.2025,Canada,Australie,0,1,True,0,1,L,Unknown
Canada,09.09.2025,Pays de Galles,Canada,0,1,False,1,0,W,Unknown
Canada,05.09.2025,Roumanie,Canada,0,3,False,3,0,W,Unknown
Canada,29.06.2025Après TAB,Canada,GuatemalaQualifié: Guatemala,1,1,True,1,1,L,Unknown
Canada,25.06.2025,Canada,Salvador2,2,0,True,2,0,W,Unknown
Canada,22.06.2025,Curaçao,Canada,1,1,False,1,1,D,Unknown
Canada,18.06.2025,Canada,Honduras,6,0,True,6,0,W,Unknown
Canada,11.06.2025Après TAB,Canada,Côte d'Ivoire,0,0,True,0,0,L,Unknown
Canada,07.06.2025,Canada,Ukraine,4,2,True,4,2,W,Unknown
Canada,23.03.2025,CanadaVainqueur: Canada,États-Unis,2,1,True,2,1,W,Unknown
Canada,21.03.2025,Canada,MexiqueQualifié: Mexique,0,2,True,0,2,L,Unknown
Canada,20.11.2024,CanadaQualifié: Canada,Suriname,3,0,True,3,0,W,Unknown
Canada,16.11.2024,Suriname,Canada,0,1,False,1,0,W,Unknown
Canada,16.10.2024,Canada,Panama,2,1,True,2,1,W,Unknown
Canada,11.09.2024,Canada,Mexique,0,0,True,0,0,D,Unknown
Canada,07.09.2024,États-Unis,Canada,1,2,False,2,1,W,Unknown
Canada,14.07.2024Après TAB,Canada,UruguayVainqueur: Uruguay,2,2,True,2,2,L,Unknown
Canada,10.07.2024,ArgentineQualifié: Argentine,Canada,2,0,False,0,2,L,Unknown
Canada,06.07.2024Après TAB,Venezuela,CanadaQualifié: Canada,1,1,False,1,1,W,Unknown
Canada,30.06.2024,Canada,Chili,0,0,True,0,0,D,Unknown
Canada,26.06.2024,Pérou,Canada,0,1,False,1,0,W,Unknown
Canada,21.06.2024,Argentine,Canada,2,0,False,0,2,L,Unknown
Canada,09.06.2024,France,Canada,0,0,False,0,0,D,Unknown
Canada,06.06.2024,Pays-Bas,Canada,4,0,False,0,4,L,Unknown
Canada,23.03.2024,CanadaVainqueur: Canada,Trinité-et-Tobago,2,0,True,2,0,W,Unknown
Canada,22.11.2023,Canada,JamaiqueQualifié: Jamaique,2,3,True,2,3,L,Unknown
Canada,18.11.2023,Jamaique,Canada,1,2,False,2,1,W,Unknown
Canada,13.10.2023,Japon,Canada,4,1,False,1,4,L,Unknown
Canada,10.07.2023Après TAB,États-UnisQualifié: États-Unis,Canada,2,2,False,2,2,L,Unknown
Canada,05.07.2023,Canada,Cuba,4,2,True,4,2,W,Unknown
Canada,02.07.2023,Guatemala,Canada,0,0,False,0,0,D,Unknown
Canada,28.06.2023,Canada,Guadeloupe,2,2,True,2,2,D,Unknown
Canada,19.06.2023,Canada,États-UnisVainqueur: États-Unis,0,2,True,0,2,L,Unknown
Canada,16.06.2023,Panama,CanadaQualifié: Canada,0,2,False,2,0,W,Unknown
Canada,29.03.2023,Canada,Honduras,4,1,True,4,1,W,Unknown
Canada,26.03.2023,Curaçao,Canada,0,2,False,2,0,W,Unknown
Canada,01.12.2022,Canada,Maroc,1,2,True,1,2,L,Unknown
Canada,27.11.2022,Croatie,Canada,4,1,False,1,4,L,Unknown
Canada,23.11.2022,Belgique,Canada,1,0,False,0,1,L,Unknown
Canada,17.11.2022,Japon,Canada,1,2,False,2,1,W,Unknown
Canada,11.11.2022,Bahreïn,Canada,2,2,False,2,2,D,Unknown
Canada,27.09.2022,Canada,Uruguay,0,2,True,0,2,L,Unknown
Canada,23.09.2022,Canada,Qatar,2,0,True,2,0,W,Unknown
Canada,14.06.2022,Honduras,Canada,2,1,False,1,2,L,Unknown
Canada,10.06.2022,Canada,Curaçao,4,0,True,4,0,W,Unknown
Canada,31.03.2022,Panama,Canada,1,0,False,0,1,L,Unknown
Canada,27.03.2022,Canada,Jamaique,4,0,True,4,0,W,Unknown
Canada,25.03.2022,Costa Rica,Canada,1,0,False,0,1,L,Unknown
Canada,03.02.2022,Salvador,Canada,0,2,False,2,0,W,Unknown
Canada,30.01.2022,Canada,États-Unis,2,0,True,2,0,W,Unknown
Canada,28.01.2022,Honduras,Canada,0,2,False,2,0,W,Unknown
Canada,17.11.2021,Canada,Mexique,2,1,True,2,1,W,Unknown
Canada,13.11.2021,Canada,Costa Rica,1,0,True,1,0,W,Unknown
Canada,14.10.2021,Canada,Panama,4,1,True,4,1,W,Unknown
Canada,11.10.2021,Jamaique,Canada,0,0,False,0,0,D,Unknown
Canada,08.10.2021,Mexique,Canada,1,1,False,1,1,D,Unknown
Canada,09.09.2021,Canada,Salvador,3,0,True,3,0,W,Unknown
Canada,06.09.2021,États-Unis,Canada,1,1,False,1,1,D,Unknown
Canada,03.09.2021,Canada,Honduras,1,1,True,1,1,D,Unknown
Canada,30.07.2021,MexiqueQualifié: Mexique,Canada,2,1,False,1,2,L,Unknown
Canada,26.07.2021,Costa Rica,CanadaQualifié: Canada,0,2,False,2,0,W,Unknown
Canada,18.07.2021,États-Unis,Canada,1,0,False,0,1,L,Unknown
Canada,16.07.2021,Haïti,Canada,1,4,False,4,1,W,Unknown
Canada,12.07.2021,Canada,Martinique,4,1,True,4,1,W,Unknown
Canada,16.06.2021,CanadaVainqueur: Canada,Haïti,3,0,True,3,0,W,Unknown
Canada,12.06.2021,Haïti,Canada,0,1,False,1,0,W,Unknown
Canada,09.06.2021,Canada,Suriname,4,0,True,4,0,W,Unknown
Canada,06.06.2021,Aruba,Canada,0,7,False,7,0,W,Unknown
Canada,30.03.2021,Iles Caïmans,Canada,0,11,False,11,0,W,Unknown
Canada,26.03.2021,Canada,Bermudes,5,1,True,5,1,W,Unknown
Canada,16.01.2020,Canada,Islande,0,1,True,0,1,L,Unknown
Canada,11.01.2020,Barbade,Canada,1,4,False,4,1,W,Unknown
États-Unis,06.06. 20:30,États-Unis,Allemagne,1,2,True,1,2,L,Unknown
États-Unis,31.05. 21:30,États-Unis,Sénégal,3,2,True,3,2,W,Unknown
États-Unis,01.04. 01:00,États-Unis,Portugal,0,2,True,0,2,L,Unknown
États-Unis,28.03. 20:30,États-Unis,Belgique,2,5,True,2,5,L,Unknown
États-Unis,19.11.2025,États-Unis,Uruguay,5,1,True,5,1,W,Unknown
États-Unis,15.11.2025,États-Unis,Paraguay,2,1,True,2,1,W,Unknown
États-Unis,15.10.2025,États-Unis,Australie,2,1,True,2,1,W,Unknown
États-Unis,11.10.2025,États-Unis,Équateur,1,1,True,1,1,D,Unknown
États-Unis,10.09.2025,États-Unis,Japon,2,0,True,2,0,W,Unknown
États-Unis,06.09.2025,États-Unis,Corée du Sud,0,2,True,0,2,L,Unknown
États-Unis,07.07.2025,États-Unis,MexiqueVainqueur: Mexique,1,2,True,1,2,L,Unknown
États-Unis,03.07.2025,États-UnisQualifié: États-Unis,Guatemala,2,1,True,2,1,W,Unknown
États-Unis,30.06.2025Après TAB,États-UnisQualifié: États-Unis,Costa Rica,2,2,True,2,2,W,Unknown
États-Unis,23.06.2025,États-Unis,Haïti,2,1,True,2,1,W,Unknown
États-Unis,20.06.2025,Arabie Saoudite,États-Unis,0,1,False,1,0,W,Unknown
États-Unis,16.06.2025,États-Unis,Trinité-et-Tobago,5,0,True,5,0,W,Unknown
États-Unis,11.06.2025,États-Unis,Suisse,0,4,True,0,4,L,Unknown
États-Unis,07.06.2025,États-Unis,Turquie,1,2,True,1,2,L,Unknown
États-Unis,23.03.2025,CanadaVainqueur: Canada,États-Unis,2,1,False,1,2,L,Unknown
États-Unis,21.03.2025,États-Unis,PanamaQualifié: Panama,0,1,True,0,1,L,Unknown
États-Unis,23.01.2025,États-Unis,Costa Rica,3,0,True,3,0,W,Unknown
États-Unis,18.01.2025,États-Unis,Venezuela,3,1,True,3,1,W,Unknown
États-Unis,19.11.2024,États-UnisQualifié: États-Unis,Jamaique,4,2,True,4,2,W,Unknown
États-Unis,15.11.2024,Jamaique,États-Unis,0,1,False,1,0,W,Unknown
États-Unis,16.10.2024,Mexique,États-Unis,2,0,False,0,2,L,Unknown
