Team_name,win_rate,world_cup_win_rate,avg_goals_scored,avg_goals_conceded,avg_goal_difference,players_value,Fifa_ranking,links_flashscore
Canada,52.5,,1.81,0.88,0.94,"7,87 mio. €",30.0,https://www.flashscore.fr/equipe/canada/x4toKORL/resultats/
États-Unis,51.25,,1.75,1.01,0.74,"14,83 mio. €",16.0,https://www.flashscore.fr/equipe/etats-unis/fuitL4CF/resultats/
Mexique,50.0,,1.43,0.9,0.53,"7,38 mio. €",15.0,https://www.flashscore.fr/equipe/mexique/O6iHcNkd/resultats/
Curaçao,42.5,,1.84,1.18,0.66,991 K €,83.0,https://www.flashscore.fr/equipe/curacao/bLLGpOkQ/resultats/
Haïti,52.5,,2.24,1.31,0.93,"2,15 mio. €",82.0,https://www.flashscore.fr/equipe/haiti/nk4v10Z1/resultats/
Panama,47.5,,1.52,1.31,0.21,"1,33 mio. €",33.0,https://www.flashscore.fr/equipe/panama/OWKqbCfi/resultats/
Allemagne,55.0,,2.33,1.19,1.14,"36,42 mio. €",10.0,https://www.flashscore.fr/equipe/allemagne/ptQide1O/resultats/
Angleterre,66.25,,2.12,0.59,1.54,"50,11 mio. €",4.0,https://www.flashscore.fr/equipe/angleterre/j9N9ZNFA/resultats/
Autriche,57.5,,1.89,1.02,0.86,"9,69 mio. €",23.0,https://www.flashscore.fr/equipe/autriche/naHiWdnt/resultats/
Belgique,60.0,,2.35,0.89,1.46,"21,06 mio. €",9.0,https://www.flashscore.fr/equipe/belgique/GbB957na/resultats/
Bosnie-Herzégovine,31.25,,1.12,1.43,-0.3,"5,83 mio. €",65.0,https://www.flashscore.fr/equipe/bosnie-herzegovine/fqe7WYTr/resultats/
Croatie,55.0,,1.75,1.09,0.66,"14,90 mio. €",11.0,https://www.flashscore.fr/equipe/croatie/K8aznggo/resultats/
Écosse,47.5,,1.48,1.3,0.17,"6,55 mio. €",43.0,https://www.flashscore.fr/equipe/ecosse/fZRU25WH/resultats/
Espagne,66.25,,2.33,0.76,1.56,"47,03 mio. €",2.0,https://www.flashscore.fr/equipe/espagne/bLyo6mco/resultats/
France,65.0,,2.16,0.89,1.27,"58,58 mio. €",1.0,https://www.flashscore.fr/equipe/france/QkGeVG1n/resultats/
Norvège,56.25,,2.09,0.96,1.12,"22,69 mio. €",31.0,https://www.flashscore.fr/equipe/norvege/8rP6JO0H/resultats/
Pays-Bas,58.75,,2.31,0.96,1.35,"30,93 mio. €",8.0,https://www.flashscore.fr/equipe/pays-bas/WYintcWb/resultats/
Portugal,67.5,,2.42,0.78,1.65,"38,67 mio. €",5.0,https://www.flashscore.fr/equipe/portugal/WvJrjFVN/resultats/
République Tchèque,52.5,,1.75,1.15,0.6,,41.0,https://www.flashscore.fr/equipe/republique-tcheque/6LHwBDGU/resultats/
Suède,52.5,,1.69,1.27,0.41,"15,62 mio. €",38.0,https://www.flashscore.fr/equipe/suede/OQyqbHWB/resultats/
Suisse,45.0,,1.82,1.16,0.66,"12,79 mio. €",19.0,https://www.flashscore.fr/equipe/suisse/rHJ2vy1B/resultats/
Turquie,52.5,,1.88,1.34,0.54,"18,22 mio. €",22.0,https://www.flashscore.fr/equipe/turquie/QeijuHo5/resultats/
Afrique du Sud,46.25,,1.32,0.91,0.41,"1,89 mio. €",60.0,https://www.flashscore.fr/equipe/afrique-du-sud/W2ijYvlr/resultats/
Algérie,65.0,,1.9,0.59,1.31,"9,88 mio. €",28.0,https://www.flashscore.fr/equipe/algerie/nc87N1BR/resultats/
Cap-Vert,45.0,,1.2,0.96,0.24,"2,10 mio. €",68.0,https://www.flashscore.fr/equipe/cap-vert/MocyWdm7/resultats/
Côte d'Ivoire,61.25,,1.66,0.75,0.91,"20,08 mio. €",34.0,https://www.flashscore.fr/equipe/cote-d-ivoire/G2FRjBgn/resultats/
Égypte,60.0,,1.52,0.71,0.81,"4,48 mio. €",29.0,https://www.flashscore.fr/equipe/egypte/bejDn7NN/resultats/
Ghana,38.75,,1.26,1.15,0.11,"8,69 mio. €",73.0,https://www.flashscore.fr/equipe/ghana/nNBjHale/resultats/
Maroc,71.25,,1.89,0.65,1.24,"19,17 mio. €",7.0,https://www.flashscore.fr/equipe/maroc/IDKYO3R8/resultats/
République Démocratique du Congo,50.0,,0.0,0.0,0.0,"5,53 mio. €",46.0,https://www.flashscore.fr/equipe/dr-congo/phn9mm8H/resultats/
Sénégal,65.0,,1.66,0.68,0.99,"18,39 mio. €",14.0,https://www.flashscore.fr/equipe/senegal/hOIsJLJr/resultats/
Tunisie,52.5,,1.32,0.75,0.57,"2,69 mio. €",44.0,https://www.flashscore.fr/equipe/tunisie/QqZVYk95/resultats/
Arabie Saoudite,38.75,,1.07,1.0,0.07,"1,56 mio. €",61.0,https://www.flashscore.fr/equipe/arabie-saoudite/biSY8ox4/resultats/
Australie,61.25,,1.89,0.74,1.15,"2,98 mio. €",27.0,https://www.flashscore.fr/equipe/australie/xSrf6qMM/resultats/
Corée du Sud,61.25,,1.91,0.91,1.0,"5,35 mio. €",25.0,https://www.flashscore.fr/equipe/coree-du-sud/K6Gs7P6G/resultats/
Irak,50.0,,1.29,0.94,0.35,802 K €,57.0,https://www.flashscore.fr/equipe/irak/K8aAGt6r/resultats/
Iran,70.0,,2.23,0.74,1.49,"1,23 mio. €",21.0,https://www.flashscore.fr/equipe/iran/xrRx85iA/resultats/
Japon,71.25,,2.6,0.61,1.99,"10,42 mio. €",18.0,https://www.flashscore.fr/equipe/japon/ULXPdOUj/resultats/
Jordanie,46.25,,1.65,1.19,0.46,800 K €,63.0,https://www.flashscore.fr/equipe/jordanie/vNcmJoU2/resultats/
Ouzbékistan,58.75,,1.73,0.9,0.82,"3,28 mio. €",50.0,https://www.flashscore.fr/equipe/ouzbekistan/EZYKKRMc/resultats/
Qatar,41.25,,1.29,1.31,-0.03,766 K €,55.0,https://www.flashscore.fr/equipe/qatar/zqzHL77i/resultats/
Argentine,80.0,,2.15,0.47,1.68,"31,30 mio. €",3.0,https://www.flashscore.fr/equipe/argentine/f9OppQjp/resultats/
Brésil,60.0,,1.96,0.78,1.19,"35,51 mio. €",6.0,https://www.flashscore.fr/equipe/bresil/I9l9aqLq/resultats/
